"experiment","subject","response","ground_truth","trial","sequence","streak","repetition"
"Exp3",17,"probability",50,10,"[0,0,1,1,0,1,0,1]",1,50
"Exp3",17,"probability",50,11,"[1,0,1,0,1,0,0,0]",3,52
"Exp3",17,"probability",50,12,"[1,1,1,0,1,0,1,0]",1,50
"Exp3",17,"probability",50,13,"[0,1,0,0,0,0,0,0]",6,30
"Exp3",17,"probability",50,14,"[1,0,1,0,1,0,1,1]",2,43
"Exp3",17,"probability",50,15,"[0,0,1,1,0,1,1,0]",1,50
"Exp3",17,"probability",50,16,"[0,1,0,1,0,1,0,1]",1,49
"Exp3",17,"probability",50,17,"[1,1,0,1,1,1,1,1]",5,33
"Exp3",17,"probability",50,18,"[1,0,1,0,1,0,1,0]",1,51
"Exp3",18,"probability",50,1,"[0,1,0,0,0,1,0,1]",1,51
"Exp3",18,"probability",50,2,"[1,1,1,1,1,0,1,0]",1,50
"Exp3",18,"probability",50,3,"[1,0,1,0,1,0,1,0]",1,51
"Exp3",18,"probability",50,4,"[0,1,0,0,1,0,1,1]",2,49
"Exp3",18,"probability",50,5,"[1,0,1,0,0,0,0,0]",5,50
"Exp3",18,"probability",50,6,"[0,1,0,1,0,0,0,0]",4,51
"Exp3",18,"probability",50,7,"[0,1,1,1,0,0,1,0]",1,51
"Exp3",18,"probability",50,8,"[1,0,0,0,0,0,0,0]",7,50
"Exp3",18,"probability",50,9,"[0,1,0,1,1,0,0,0]",3,50
"Exp3",18,"probability",50,10,"[1,1,0,0,0,1,1,0]",1,50
"Exp3",18,"probability",50,11,"[1,1,1,0,1,0,1,0]",1,50
"Exp3",18,"probability",50,12,"[1,0,1,1,1,1,1,1]",6,47
"Exp3",18,"probability",50,13,"[1,1,1,1,0,0,1,0]",1,51
"Exp3",18,"probability",50,14,"[0,0,0,0,1,1,0,1]",1,50
"Exp3",18,"probability",50,15,"[0,1,0,1,0,1,0,1]",1,50
"Exp3",18,"probability",50,16,"[0,1,0,1,0,0,1,0]",1,49
"Exp3",18,"probability",50,17,"[0,0,1,1,0,1,1,0]",1,50
"Exp3",18,"probability",50,18,"[0,1,0,0,0,0,0,1]",1,52
"Exp3",19,"probability",50,1,"[1,0,1,0,0,1,1,0]",1,47
"Exp3",19,"probability",50,2,"[1,0,0,0,0,1,0,1]",1,73
"Exp3",19,"probability",50,3,"[0,1,0,0,0,1,0,1]",1,28
"Exp3",19,"probability",50,4,"[1,0,0,0,0,0,0,0]",7,98
"Exp3",19,"probability",50,5,"[1,0,1,1,0,1,0,0]",2,6
"Exp3",19,"probability",50,6,"[0,1,0,1,1,1,1,0]",1,16
"Exp3",19,"probability",50,7,"[1,1,1,0,1,0,1,0]",1,26
"Exp3",19,"probability",50,8,"[1,1,0,0,0,0,0,0]",6,73
"Exp3",19,"probability",50,9,"[1,1,1,1,1,1,0,1]",1,98
"Exp3",19,"probability",50,10,"[1,1,0,1,0,0,1,0]",1,82
"Exp3",19,"probability",50,11,"[1,1,1,1,0,0,1,0]",1,22
"Exp3",19,"probability",50,12,"[0,1,0,1,0,1,0,1]",1,25
"Exp3",19,"probability",50,13,"[1,0,1,0,1,0,1,0]",1,3
"Exp3",19,"probability",50,14,"[0,1,0,1,1,0,0,0]",3,32
"Exp3",19,"probability",50,15,"[0,1,0,0,0,0,0,1]",1,10
"Exp3",19,"probability",50,16,"[0,0,1,0,1,1,1,1]",4,49
"Exp3",19,"probability",50,17,"[1,0,0,0,1,0,1,0]",1,66
"Exp3",19,"probability",50,18,"[0,0,1,0,0,0,0,0]",5,64
"Exp3",20,"probability",50,1,"[1,0,0,0,0,1,0,1]",1,49
"Exp3",20,"probability",50,2,"[0,1,0,1,1,1,1,0]",1,50
"Exp3",20,"probability",50,3,"[1,0,0,0,1,0,1,0]",1,51
"Exp3",20,"probability",50,4,"[0,1,1,1,0,0,1,0]",1,50
"Exp3",20,"probability",50,5,"[1,1,0,1,1,0,0,1]",1,50
"Exp3",20,"probability",50,6,"[1,1,1,1,1,1,0,1]",1,49
"Exp3",20,"probability",50,7,"[0,1,0,0,1,0,1,1]",2,47
"Exp3",20,"probability",50,8,"[0,0,1,1,0,1,0,1]",1,47
"Exp3",20,"probability",50,9,"[1,1,0,0,1,1,0,1]",1,49
"Exp3",20,"probability",50,10,"[1,1,1,0,1,0,1,0]",1,51
"Exp3",20,"probability",50,11,"[0,0,1,1,1,1,1,1]",6,48
"Exp3",20,"probability",50,12,"[0,1,0,1,1,0,0,0]",3,50
